sku,description
rhode-island-state-flag-indoor46,"Our 100% nylon taffeta state flags are manufactured with premium material to give each flag a full, rich, lustrous sheen. All the state flags featured on AmericanFlags.com are designed to official state flag specifications and are finished with heavy duty color matched thread, flannel lined pole hems with velcro mounting tabs, and luxurious golden rayon fringe.  This beautiful flag is the perfect addition to any office, lobby, school or church and is exceptionally weather resistant when used outdoors in parades or events.  Whatever your use, this state flag will look elegant for years. <b>These state flags are Made in America and are on sale now!</b>"
EF022403,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a black wood staff with a gold plastic spear. All are are made in America and ready to ship!"
EF021406,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 10"" black plastic staff with a gold plastic spear. All are made in America and ready to ship!"
EF021407,"Beautifully printed on silk-like material, these flags offer the highest quality in a mounted flag. Each is carefully hem-stitched on all four sides for longer lasting beauty. These flags are mounted on a 18"" black wood staff with a gold plastic spear. All are made in America and ready to ship!"
RIindoor,"This Rhode Island State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
WC02306115,Celebrate Owls pride! Officially licensed deluxe 3' X 5' Rice University flag with attached metal grommets for easy display indoors or outdoors. The bold imprint design is 100% show-through to the backside with a long lasting color-fast die. Fly on a flagpole or hang it on a wall. This flag is proudly Made in America!
EF155506,"<div>These 12&rsquo; x 26&rdquo; nylon feather flags feature the brightest colors available and are fully sewn for durability, rather than dyed like their low-end counterparts. Each flag is finished with a heavy duty pole sleeve designed to accept header up to a 1 1/4"" outside diameter pole. A leather tab is sewn into the inside bottom portion of the header allowing a nylon flag tie (included) to secure the flag on to the pole.<P>Optional pole offered on this page is a 15' Telescoping Superflex Pole. These fiberglass flagpoles sway in the breeze producing a dramatic, attention-getting display. This 15' white pole is adjustable from 6' to 15' and comes complete with a 24"" PVC ground sleeve and easy-to-follow instructions.</div>
<ul>
    <li><font color=""#ff0000"">Longer lasting than other feather flags - better quality.</font></li>
    <li><font color=""#ff0000"">Hassle-free ordering, great service and fast shipping.</font></li>
    </ul>"
EF155516,"<div>These 12&rsquo; x 26&rdquo; nylon feather flags feature the brightest colors available and are fully sewn for durability, rather than dyed like their low-end counterparts. Each flag is finished with a heavy duty poly sleeve designed to accept header up to a 1 1/4"" outside diameter pole. A leather tab is sewn into the inside bottom portion of the header allowing a nylon flag tie (included) to secure the flag on to the pole.<P>Optional pole offered on this page is a 15' Telescoping Superflex Pole. These fiberglass flagpoles sway in the breeze producing a dramatic, attention-getting display. This 15' white pole is adjustable from 6' to 15' and comes complete with a 24"" PVC ground sleeve and easy-to-follow instructions.</div>
<ul>
    <li><font color=""#ff0000"">Longer lasting than other feather flags - better quality.</font></li>
    <li><font color=""#ff0000"">Hassle-free ordering, great service and fast shipping.</font></li>
    </ul>"
RNDCL,"These beautiful cufflinks are cast in solid sterling silver with laset etched detail and vivid colors. Each set comes boxed, making these cufflinks a great gift!"
Romania-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Romania-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Romania-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Romania-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
usarollsticker,"Great for events, parades, ceremonies and parties, these stickers come in convenient rolls of 100 and measure 2"" X 3""."
AF2634,"<P align=""justify"">This premium Christmas flag featuring Santa Claus is printed on heavy duty nylon and measures 3' X 5'. Engineered to last year after year regardless of wind, snow or rain, this Christmas flag features two sturdy brass grommets and a reinforced canvas header. In stock now and ready to ship to your door! "
EF155515,"<div>These 12&rsquo; x 26&rdquo; nylon feather flags feature the brightest colors available and are fully sewn for durability, rather than dyed like their low-end counterparts. Each flag is finished with a heavy duty poly sleeve designed to accept header up to a 1 1/4"" outside diameter pole. A leather tab is sewn into the inside bottom portion of the header allowing a nylon flag tie (included) to secure the flag on to the pole.<P>Optional pole offered on this page is a 15' Telescoping Superflex Pole. These fiberglass flagpoles sway in the breeze producing a dramatic, attention-getting display. This 15' white pole is adjustable from 6' to 15' and comes complete with a 24"" PVC ground sleeve and easy-to-follow instructions.</div>
<ul>
    <li><font color=""#ff0000"">Longer lasting than other feather flags - better quality.</font></li>
    <li><font color=""#ff0000"">Hassle-free ordering, great service and fast shipping.</font></li>
    </ul>"
EFRUBBERSNAPS,"These 3"" solid brass swivel snaps come coated with rubber to prevent clanging and potential damage to your flagpole. They come in two popular colors."
Russia-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Russia-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Russia-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Russia-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
WC02307115,Celebrate Rutgers University pride! Officially licensed deluxe 3' X 5' Rutgers University flag with attached metal grommets for easy display indoors or outdoors. The bold imprint design is 100% show-through to the backside with a long lasting color-fast die. Fly on a flagpole or hang it on a wall. This flag is proudly Made in America!
Rwanda-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Rwanda-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Rwanda-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Rwanda-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
EF040152,"AmericanFlags.com is proud to feature these deluxe indoor Buddhist flag sets featuring a 4' X 6' fully-sewn fringed nylon flag and a two-piece 9' solid varnished oak pole. The pole features solid brass fittings and is topped with a 4 1/4"" tall brass-plated ball ornament. We include a handsome gold cord and tassle along with a gold anodized floor stand. This set is in-stock now and ready to ship to your door!"
CFSAS1,Our Sasktachewan flags are on sale right now. These Saskatchewan flags are acid-dyed on 100% heavyweight nylon and finished with heavy brass grommets for easy display indoors or outdoors. Our Saskatchewan flags come in 5 popular sizes from 2' X 3' to 6' X 10'. These Sasktachewan flags are in-stock and ready to ship today!
AF281105WE,"<P align=""justify"">These handsome Sailfish Flags measure 12 X 18 inches and are made of 100% all-weather nylon. They are specially treated to resist sun, water and salt and feature sturdy canvas headers and brass grommets."
SALE35,This Sale flag measures 3' X 5' and is made of sewn polyester. It features a canvas header for added durability and metal grommets for easy display on any pole or flat surface.
sanantonioflag,"Made from durable nylon, our authentic San Antonio flags are constructed to official specifications and available in assorted popular sizes. Each flag has two heavy duty grommets for easy display, though we also offer an optional pole sleeve and gold fringe for indoor display. These flags are ""made-to-order"" right here in America, so please allow about 10 days for your order to ship."
san-diego-chargers-car-flags,"Show your NFL team pride with these durable, brightly-colored and officially-licensed car flags. Forget the knock-offs, these car flags last longer and offer better value. Our premium 2-sided football car flags measure 14"" X 10.75"" and are made of double-spun polyester. They read correctly on both sides and easily attach to any car window with the 20.5"" durable vinyl pole."
San-Diego-Chargers-Flags,"Celebrate your favorite NFL team with these durable, brightly-colored and officially-licensed flags. Forget the knock-offs, these flags last longer and offer better value. Our premium 3' X 5' flags are made of 100% polyester and feature a wide, reinforced headband with two metal grommets for easy hanging."
san-francisco-49ers-car-flags,"Show your NFL team pride with these durable, brightly-colored and officially-licensed car flags. Forget the knock-offs, these car flags last longer and offer better value. Our premium 2-sided football car flags measure 14"" X 10.75"" and are made of double-spun polyester. They read correctly on both sides and easily attach to any car window with the 20.5"" durable vinyl pole."
San-Francisco-49ers-Flags,"Celebrate your favorite NFL team with these durable, brightly-colored and officially-licensed flags. Forget the knock-offs, these flags last longer and offer better value. Our premium 3' X 5' flags are made of 100% polyester and feature a wide, reinforced headband with two metal grommets for easy hanging."
sanfranciscoflag,"Made from durable nylon, our authentic San Francisco flags are constructed to official specifications and available in assorted popular sizes. Each flag has two heavy duty grommets for easy display, though we also offer an optional pole sleeve and gold fringe for indoor display. These flags are ""made-to-order"" right here in America, so please allow about 10 days for your order to ship."
San-Marino-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
San-Marino-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
San-Marino-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
San-Marino-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
WC68410011,"Cheer-on San Diego with this officially licensed Padres garden flag. Durable polyester garden banner measures 11"" x 15"" and is machine washable. Designed to hang vertically from a garden flagpole or inside as wall decor. Pole sold separately. Proudly made in the USA!"
WC08384013,"Officially licensed San Francisco 49ers garden flag. Durable polyester flag measures 11"" x 15"". Machine washable. Designed to hang vertically from a garden flag pole or inside as wall decor. Poles sold separately. Made in USA."
WC21282011,"Cheer-on San Francisco with this officially licensed Giants garden flag. Durable polyester garden banner measures 11"" x 15"" and is machine washable. Designed to hang vertically from a garden flagpole or inside as wall decor. Pole sold separately. Proudly made in the USA!"
WC02502115,"Officially licensed 3' x 5' Deluxe San Francisco Giants Stars and Stripes flag with premium durable fabric, two grommets and quality stitching including a quad stitched fly end. The vibrant imprint is 100% show through to the backside with a long lasting color-fast dye. Fly on a flagpole or hang it on a wall."
TT0016,"This fine garden banner is constructed of high grade nylon and specially treated to resist wind, rain, snow and sun. It measures a full 28"" X 44"" and can be hung on any flag pole or garden banner bracket. It's 3D and features two flags sewn together with a weather-resistant material inside to create a full 3D look. Use it year after year! This banner is in stock, ready to ship and on sale now!"
EF090016,"<P align=""justify"">This premium ""Merry Christmas"" flag featuring Santa Claus himself is printed on heavy duty nylon and measures 3' X 5'. Engineered to last year after year regardless of wind, snow or rain, this festive holiday flag features two sturdy brass grommets and a reinforced canvas header. In stock now and ready to ship to your door! "
Sao-Tome-&-Principe-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Sao-Tome-Principe-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Sao-Tome-&-Principe-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Sao-Tome-&-Principe-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
TT017,"This fine garden flag is constructed of high grade nylon and specially treated to resist wind, rain, snow and sun. It measures a full 28"" X 44"" and can be hung on any flag pole or garden banner bracket. This banner is in stock, ready to ship and on sale now!"
VFSALETAG,"This Sale Tag Advertising Blade Flag measures 2' wide X 11' tall and is 100% Made in the USA on heavy duty 200-denier nylon fabric. Each blade flag features bright colors, eye-catching graphics and is engineered to withstand the elements. Pole and base sold separately."
Saudi-Arabia-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Saudi-Arabia-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Saudi-Arabia-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Saudi-Arabia-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
SCindoor,"This South Carolina State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
PampantLion,"Our Scottish Rampant Lion flags are made of sturdy 100% heavyweight nylon and come in a variety of popular sizes. Each flag features a strong duck heading, large brass grommets and reinforced stitching. These Scottish flags will outlast all others and come with a 1-year colorfast warrantee. Our Scotland-themed flags are in-stock and on sale now!"
SDindoor,"This South Dakota State Flag set comes with everything you need to create the perfect display in minutes and is available in two sizes. The standard size includes an 8-foot pole with a 3' X 5' flag, while larger spaces and those with higher ceilings require a 9-foot pole and a 4' X 6' flag. This set features a premium Nyl-Glo state flag, available fringed or unfringed. The set comes complete with a 2-piece oak pole joined with brass fittings, topped with a gold gilded spear, which fits neatly into our best-selling Liberty stand. The set is finished with a gold cord and tassel to create the perfect look for any lobby, board room, school or church. This is a good quality flag display set designed to impress and designed to last.<p><b>This great flag set is on sale now!</b>"
EF070259,"Demonstrate your military pride with this great flag! This handsome flag is made of good quality polyester and measures 3' X 5'. It is finished with a sturdy canvas header for added durability and features two brass grommets for easy display.  AmericanFlags.com is proud to support our U.S. military, both active duty and retired."
seattle-seahawks-car-flags,"Show your NFL team pride with these durable, brightly-colored and officially-licensed car flags. Forget the knock-offs, these car flags last longer and offer better value. Our premium 2-sided football car flags measure 14"" X 10.75"" and are made of double-spun polyester. They read correctly on both sides and easily attach to any car window with the 20.5"" durable vinyl pole."
Seattle-Seahawks-Flags,"Celebrate your favorite NFL team with these durable, brightly-colored and officially-licensed flags. Forget the knock-offs, these flags last longer and offer better value. Our premium 3' X 5' flags are made of 100% polyester and feature a wide, reinforced headband with two metal grommets for easy hanging."
newitem337615457,nan
TT14069,"Celebrate the spirit of the season as you welcome loved ones to your home or business with this banner. This fine garden banner is constructed of high grade nylon and specially treated to resist wind, rain, snow and sun. It measures a full 28"" X 44"" and can be hung on any flag pole or garden banner bracket. This banner is in stock, ready to ship and on sale now!"
EF090017,"<P align=""justify"">This premium seasons greetings flag featuring Santa Claus and two snowmen is printed on heavy duty nylon and measures 3' X 5'. Engineered to last year after year regardless of wind, snow or rain, this winter flag features two sturdy brass grommets and a reinforced canvas header. In stock now and ready to ship to your door! "
WC21283013,"Cheer-on Seattle with this officially licensed Mariners garden flag. Durable polyester garden banner measures 11"" x 15"" and is machine washable. Designed to hang vertically from a garden flagpole or inside as wall decor. Pole sold separately. Proudly made in the USA!"
Senegal-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Senegal-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Senegal-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Senegal-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
EF060579,"Serapis is a name given to an unconventional, early United States ensign flown from the captured British frigate Serapis. This flag remains popular given its unique and unconventional design.<p>
Our Serapis flag is carefully crafted in high-grade nylon and measures a regulation 3 feet by 5 feet. It features two brass grommets for easy display and is perfect for indoor/outdoor display."
Serbia-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Serbia-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Serbia-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Serbia-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
CFAR3X5NSERV,"<P align=""justify"">This handsome service flag measures 3' X 5' and is the perfect way to show your love, support and respect for enlisted servicemen and women. This flag is constructed of heavy duty nylon, features a heavy duty header and brass grommets. This is a great flag at a great price! Perfect for military families and all those with loved ones who are active military."
WC08749013,"Officially licensed Seattle Seahawks garden flag. Durable polyester flag measures 11"" x 15"". Machine washable. Designed to hang vertically from a garden flag pole or inside as wall decor. Poles sold separately. Made in USA."
SELFSTORAGE35,This Self Storage flag measures 3' X 5' and is made of sewn polyester. It features a canvas header for added durability and metal grommets for easy display on any pole or flat surface.
SWPNAVY35,This Served With Pride Navy flag measures 3' X 5' and is made of sturdy all-weather polyester. It features two metal grommets for easy display and is printed in bright colorfast inks. All of our Navy flags are in-stock and on sale now! 
AFSWP,This Served With Pride Air Force flag measures 3' X 5' and is made of sturdy all-weather polyester. It features two metal grommets for easy display and is printed in bright colorfast inks. All of our Air Force flags are in-stock and on sale now!
SWPARMY35,"This Served With Pride Army flag measures 3' X 5' and is made of sturdy all-weather polyester. It features two metal grommets for easy display and is printed in bright colorfast inks. These flags are imported exclusively for AmericanFlags.com, in-stock and on sale now!"
SWPMARINES35,This Served With Pride US Marine Corps flag measures 3' X 5' and is made of sturdy all-weather polyester. It features two metal grommets for easy display and is printed in bright colorfast inks. All of our USMC flags are in-stock and on sale now!
Seychelles-Flag-2X3,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Seychelles-Flag-3X5,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Seychelles-Flag-4X6,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Seychelles-Flag-5X8,"Our world flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These flags are also finished with strong canvas headings and large grommets."
Toland113216,"Available in two popular sizes - 12.5 inches X 18 inches and 28 inches X 40 inches - this Shamrock and Friend Garden Flag Garden Flag is machine washable and UV, mildew, and fade resistant. It features a heat sublimated festive design to permanently dye fabric for long lasting color and this garden banner is made of durable 600 denier polyester fabric."
AF281126WE,"<P align=""justify"">These handsome Shark Flags measure 12 X 18 inches and are made of 100% all-weather nylon. They are specially treated to resist sun, water and salt and feature sturdy canvas headers and brass grommets."
